title,link,description,bloggername,bloggerlink,postdate
광화문역 신상 카페 ‘센터커피’ 다녀온 후기 (오픈 이벤트... ,https://blog.naver.com/feelnowhere/224183705469,"프랄린 라떼 | 6,500원 | | Brewed | 오늘의 커피 (Batch Brew) | 5,000원 | | | 에티오피아 시다마 벤사 | 6,000원 | | Non-Coffee | <b>딸기 라떼</b> / 유자 레몬 에이드 | 6.5~7.0 | 특히 ~15:00까지 운영되는 런치 메뉴가 인상적이었다.... ",지나우 건강 뷰티 다이어터,blog.naver.com/feelnowhere,20260214
"강릉여행 필수코스, 초당커피정미소 누룽지크림<b>라떼</b> 솔직후기",https://blog.naver.com/duwls2518/224183706035,"✔ 저는 누룽지크림라떼 ✔ 남편은 레몬에이드 ✔ 아이는 <b>딸기라떼</b> 누룽지크림라떼 처음엔 이름이... <b>딸기라떼</b> 아이 메뉴라 사실 한두 모금맛 맛보려 했는데, 너무 달고 진해서 놀랐어요. 생딸기가 들어있어서... ",KIND BUT NOT SOFT,blog.naver.com/duwls2518,20260214
을지로예쁜카페 1020룸 두쫀쿠 아이와 함께 아쉬운 점,https://blog.naver.com/superstargw/224183701007,맛있고 <b>딸기라떼</b>는 아이들이 정말 좋아해서 재주문 하기도 했고요 잘 먹고 잘 놀고 즐거운 시간을 보내긴 하나 을지로예쁜카페 1020룸 분위기와는 다르게 아쉬운 점이 있었습니다 사장님이신지는 모르나 암튼;... ,말하기 Show,blog.naver.com/superstargw,20260214
양산두쫀쿠 두바이 디저트 파는 통도사 대형카페 순지카페... ,https://blog.naver.com/gidang_2/224183694746,"젤라또라떼, 설향<b>딸기라떼</b> 이렇게 주문했답니다 두바이 젤라또는 쫀득 달달 고소한 피스타치오 젤라또에 초코쉘, 피스타치오카다이프가 올라가요 두바이젤라또도 쫀득과 바삭의 조합입니다 달달하게... ",기댕씨의 하루⏰,blog.naver.com/gidang_2,20260214
[강원/삼척] 연휴에 들러야 할 삼척 신상카페 토디/생<b>딸기라떼</b>와... ,https://blog.naver.com/pisces-/224183691651,"삼척생<b>딸기라떼</b> (5,000)를 주문할거에요 !! 왜냐고 물으신다면 토디카페는 딸기농장을 직접 운영하신다구해서 당도 높은 딸기를 기대하고 왔거든요 당일수확, 농약없이 직접재배한 딸기도 절찬... ",Hello stranger:),blog.naver.com/pisces-,20260214
11. 16~19주 빵빵코니 일기,https://blog.naver.com/mungmung0903/224183690638,연세우유 딸기생크림빵 크림이 너무 퐁신퐁신 부드럽다 사실... 붉은말 그려져있어서 사본건뎈ㅋㅋㅋ... 04.Feb.2026 의국 비서 선생님이 사주신 <b>딸기라떼</b> 엄마가 사온 하리보 프루티부시 내스타일이야 암냠냠... ,빵빵이의 보물창고,blog.naver.com/mungmung0903,20260214
행복하자,https://blog.naver.com/muxn1/224183689017,그러고 다음 날이 윤성언니 생일이였어서 캔메이크 파우더를 드렸어 아직도 잘 쓰고 있으셔서 기분 좋아 ㅋㅋㅋㅋㅋ 윤성언니가 만들어준 <b>딸기라떼</b>를 먹었었어 (물론 용쌤도!!!) 용쌤이 첫번째 사진을 본계에... ,muxn1님의 블로그,blog.naver.com/muxn1,20260214
대구 달성 달창저수지 뷰 맛집 - 카페 안녕하다,https://blog.naver.com/angelark_/224183680103,"화이트뱅쇼 아이스 (6,500) 아이스 아메리카노 (5,000) 고구마라떼 (5,500) <b>딸기라떼</b> (7,000) 소프트 소금빵 (2,900) 먹물 소금빵 (4,200) 명란 소금빵 (4,200) 처음 먹어본 화이트뱅이쇼입니다. 항상 레드뱅쇼만 먹다 처음... ",배고픈 곰돌이 아크,blog.naver.com/angelark_,20260214
커피에 베이커리도 함께 즐길 수 있는 평택 키즈파티룸... ,https://blog.naver.com/aunimom/224183282845,"메뉴/이용내역 저희처럼 아이와 함께 키즈파티룸을 찾아서 방문하는 경우, 아이가 먹을 수 있는 젤라또아이스크림도 추천 드려요 요거트, <b>딸기</b>, <b>라떼</b>(우유맛) 3가지 종류가 어린 아이들한테도 무난한 맛 인것... ",윤빵월드,blog.naver.com/aunimom,20260214
삼산동 카페 정성 가득 수제 디저트 커피 맛집 발견했어요,https://blog.naver.com/helentmdgh13/224183677537,"함께 간 일행은 고소하고 깔끔한 '카페라떼'(5,000원)를 주문했는데, 구운 견과류의 고소함과... 다음번 방문 시에는 '리얼 <b>딸기라떼</b>'도 꼭 맛보고 싶어졌어요. 오티티커피는 단순한 삼산동 카페를 넘어, 디저트에... ",양생님 캐치볼 훈련장,blog.naver.com/helentmdgh13,20260214
스타벅스 베이비 마일로 리유저블 컵 선착순 증정기간·시간... ,https://blog.naver.com/jdy221/224183674610,붉은 로즈 초콜릿 얼 그레이 바닐라 티 라떼 바닐라 크림 콜드 브루 자몽 허니 블랙 티 스타벅스 <b>딸기 라떼</b> 개인적으로는 호불호 적은 메뉴인 바닐라 크림 콜드 브루 / 자몽 허니 블랙 티가 무난할 것 같아요.... ,똑똑한 개구리,blog.naver.com/jdy221,20260214
"오늘 수확, 오늘 발송 <b>딸기</b>는 신선도가 맛을 결정합니다",https://blog.naver.com/ifyouhigh/224183673280,활용도 만점 ✔ 그냥 먹어도 최고 ✔ <b>딸기라떼</b> ✔ 딸기청 ✔ 딸기케이크 토핑 ✔ 요거트 &amp; 샐러드 ⸻  이런 분들에게 추천 ✔ 달콤한 제철 과일 찾는 분 ✔ 아이 간식용 안전한 과일 찾는 가정 ✔ 선물용... ,이프 유 하이 스토리,blog.naver.com/ifyouhigh,20260214
[강원 횡성] 빈티지 감성 가득 횡성 노랑공장 대형 카페,https://blog.naver.com/syrh1052/224182395193,"원주 지정면 모 카페 7,500원 주고 <b>딸기라떼</b> 시켰는데 진심 남자들은 4모금 정도면 다 마실듯한 작은 잔에 나와서 이거 뭐 장난치나 했던......... 나중에 안귀찮을때 한번 거기 리뷰 해볼까 싶기도......... ",누리의 일상,blog.naver.com/syrh1052,20260214
