title,link,image,lprice,hprice,mallName,productId,productType,brand,maker,category1,category2,category3,category4
[1+1] 딸기청 수제청 600g <b>딸기라떼</b> 대용량 카페 유기농설탕,https://smartstore.naver.com/main/products/5394896399,https://shopping-phinf.pstatic.net/main_8293938/82939389925.4.jpg,23900,,잼있는농부생활,82939389925,2,,,식품,음료,차류,기타차
아우름 국산 딸기청(냉동) 2kg <b>딸기라떼</b> 카페 대용량,https://smartstore.naver.com/main/products/6373269579,https://shopping-phinf.pstatic.net/main_8391776/83917769912.12.jpg,13000,,티 포인트,83917769912,2,,우양,식품,음료,차류,기타차
동화속 <b>딸기</b> 청 국산 자일로스 수제 카페 <b>라떼</b> 납품 요거트 우유 대용량 500g,https://smartstore.naver.com/main/products/11877151422,https://shopping-phinf.pstatic.net/main_8942166/89421662024.3.jpg,9900,,동화 속 딸기,89421662024,2,,,식품,음료,차류,기타차
[마법의<b>딸기</b> 프로즌] 카페 냉동 수제 <b>딸기</b>청 과일 <b>라떼</b> 5kg(1kg x 5팩),https://smartstore.naver.com/main/products/6826086150,https://shopping-phinf.pstatic.net/main_8437058/84370586472.9.jpg,71800,,마법의딸기,84370586472,2,마법의딸기,,식품,음료,차류,기타차
[<b>딸기</b>청] 반반 <b>딸기</b>가득 카페 수제청 과일청 <b>라떼</b>우유 답례품 차 선물세트 납품 500g,https://smartstore.naver.com/main/products/2450575296,https://shopping-phinf.pstatic.net/main_1334045/13340450127.18.jpg,18000,,초코써니 수제청 수제과일청,13340450127,2,초코써니,,식품,음료,차류,기타차
[마법의<b>딸기</b>] 카페 냉장 수제 <b>딸기</b>청 과일 <b>라떼</b> 만들기 5kg,https://smartstore.naver.com/main/products/4337134794,https://shopping-phinf.pstatic.net/main_8188165/81881656822.13.jpg,71800,,마법의딸기,81881656822,2,마법의딸기,,식품,음료,차류,기타차
마법의<b>딸기</b> 프로즌 수제청 <b>딸기</b> 베이스 1kg 1팩 <b>라떼</b> 퓨레 과일청 스무디 에이드 카페재료,https://smartstore.naver.com/main/products/8820972826,https://shopping-phinf.pstatic.net/main_8636547/86365473149.jpg,17800,,커피창고,86365473149,2,마법의딸기,,식품,음료,차류,기타차
스노베리 국내산 <b>딸기</b>청 카페 <b>딸기</b> 과일 <b>라떼</b> 에이드 10kg(1kgx10팩),https://smartstore.naver.com/main/products/9364073359,https://shopping-phinf.pstatic.net/main_8690857/86908573682.jpg,72600,,스노푸룻,86908573682,2,스노푸룻,도들샘,식품,음료,차류,기타차
스노베리 국내산 <b>딸기</b>청 카페 <b>딸기</b> 과일 <b>라떼</b> 에이드 1kg+1kg,https://smartstore.naver.com/main/products/9183658136,https://shopping-phinf.pstatic.net/main_8672815/86728158459.5.jpg,23900,,스노푸룻,86728158459,2,스노푸룻,도들샘,식품,음료,차류,기타차
프레시히어로 딸기청 수제청 과일청 1kg 4개 냉동 <b>딸기라떼</b> 딸기주물럭,https://smartstore.naver.com/main/products/6013504125,https://shopping-phinf.pstatic.net/main_8355800/83558003613.1.jpg,53700,,fudi,83558003613,2,,,식품,음료,차류,기타차
