title,link,image,lprice,hprice,mallName,productId,productType,brand,maker,category1,category2,category3,category4
[하겐다즈] 파인트&amp;멀티바 <b>딸기</b>+바닐라+다크벨지안초콜릿 / 3개 세트 외 16종,https://smartstore.naver.com/main/products/5349336362,https://shopping-phinf.pstatic.net/main_8289382/82893829302.20.jpg,35900,,하겐다즈스토어,82893829302,2,하겐다즈,,식품,과자/베이커리,아이스크림/빙수,아이스크림
빙그레 따옴바 5종 <b>딸기</b> 패션프루트 복숭아 수박 파인애플,https://search.shopping.naver.com/catalog/49073101703,https://shopping-phinf.pstatic.net/main_4907310/49073101703.20250524114154.jpg,19890,,네이버,49073101703,1,빙그레,빙그레,식품,과자/베이커리,아이스크림/빙수,아이스크림
빙그레 투게더 바닐라 <b>딸기</b> 초코 그라시아 쿠앤크 3개 2개,https://search.shopping.naver.com/catalog/49336543661,https://shopping-phinf.pstatic.net/main_4933654/49336543661.20240723163357.jpg,19168,,네이버,49336543661,1,투게더,빙그레,식품,과자/베이커리,아이스크림/빙수,아이스크림
"빙그레 <b>딸기</b> 퐁당 <b>빙수</b> , 240ml, 12개",https://search.shopping.naver.com/catalog/55563428937,https://shopping-phinf.pstatic.net/main_5556342/55563428937.20250630151624.jpg,21500,,네이버,55563428937,1,빙그레,,식품,과자/베이커리,아이스크림/빙수,아이스크림
"동학식품 롯데웰푸드 색고드름 , 125ml, 15개",https://search.shopping.naver.com/catalog/55227399135,https://shopping-phinf.pstatic.net/main_5522739/55227399135.20250610095617.jpg,27000,,네이버,55227399135,1,롯데웰푸드,동학식품,식품,과자/베이커리,아이스크림/빙수,아이스크림
"하겐다즈 <b>딸기</b> 파인트 , 473ml, 1개",https://search.shopping.naver.com/catalog/55449371241,https://shopping-phinf.pstatic.net/main_5544937/55449371241.20250623171712.jpg,15500,,네이버,55449371241,1,하겐다즈,하겐다즈,식품,과자/베이커리,아이스크림/빙수,아이스크림
"롯데웰푸드 스크류바 제로 , 75ml, 40개",https://search.shopping.naver.com/catalog/55362247271,https://shopping-phinf.pstatic.net/main_5536224/55362247271.20250618160819.jpg,20200,,네이버,55362247271,1,롯데웰푸드,롯데웰푸드,식품,과자/베이커리,아이스크림/빙수,아이스크림
하겐다즈 <b>딸기</b> 초콜릿 스윗 케이크,https://smartstore.naver.com/main/products/12038393452,https://shopping-phinf.pstatic.net/main_8958290/89582904144.1.jpg,39900,,하겐다즈스토어,89582904144,2,하겐다즈,,식품,과자/베이커리,아이스크림/빙수,아이스크림
매일유업 상하목장 유기농 아이스크림 밀크 <b>딸기</b> 각 2개 총 4개 상하아이스크림 상하우유,https://search.shopping.naver.com/catalog/40658915928,https://shopping-phinf.pstatic.net/main_4065891/40658915928.20230617205526.jpg,19570,,네이버,40658915928,1,,매일유업,식품,과자/베이커리,아이스크림/빙수,아이스크림
"[꾸요바] 격이 다른 꾸덕함, 초격차 그릭요거트바 <b>딸기</b>, 50g, 10개",https://smartstore.naver.com/main/products/12663143426,https://shopping-phinf.pstatic.net/main_9020765/90207654332.jpg,33800,,건강을 파는 청년들,90207654332,3,,,식품,과자/베이커리,아이스크림/빙수,아이스크림
라벤다 4L 대용량 업소용 6종 요거트 녹차 바닐라 초코 <b>딸기</b> 밀크티 카페 아이스크림,https://smartstore.naver.com/main/products/9476683852,https://shopping-phinf.pstatic.net/main_8702118/87021184175.2.jpg,18500,,아이스크림 천국,87021184175,2,라벤다,라벤다,식품,과자/베이커리,아이스크림/빙수,아이스크림
