period,딸기,딸기 빙수,딸기 케이크,딸기 라떼
2024-01-01,66.48936,,4.12234,0.16622
2024-01-02,79.85372,,2.89228,0.83111
2024-01-03,85.2726,,2.72606,0.69813
2024-01-04,69.58111,,3.125,0.69813
2024-01-05,52.36037,,4.48803,0.39893
2024-01-06,55.08643,,6.41622,0.39893
2024-01-07,70.9109,,7.21409,0.36569
2024-01-08,73.4375,0.03324,4.58776,0.86436
2024-01-09,62.69946,,5.38563,1.09707
2024-01-10,63.59707,,4.65425,0.83111
2024-01-11,61.8351,,4.22207,0.46542
2024-01-12,47.44015,,3.95611,0.5984
2024-01-13,47.10771,,3.45744,0.46542
2024-01-14,64.46143,0.03324,4.92021,0.93085
2024-01-15,78.49069,,3.59042,0.63164
2024-01-16,73.03856,,3.05851,0.63164
2024-01-17,66.48936,,4.22207,0.39893
2024-01-18,59.27526,0.03324,2.72606,0.66489
2024-01-19,48.90292,,2.4601,0.83111
2024-01-20,44.0492,,2.79255,0.79787
2024-01-21,56.64893,0.03324,4.35505,0.56515
2024-01-22,76.8617,,2.95877,0.73138
2024-01-23,70.9109,,2.92553,0.53191
2024-01-24,76.52925,,3.45744,0.46542
2024-01-25,67.15425,,3.02526,0.96409
2024-01-26,64.82712,,2.4601,1.03058
2024-01-27,62.46675,0.03324,2.62632,0.69813
2024-01-28,71.47606,0.06648,2.59308,0.63164
2024-01-29,81.58244,,4.18882,1.06382
2024-01-30,82.28058,,3.02526,0.8976
2024-01-31,75.96409,,2.72606,1.1968
2024-02-01,83.04521,,1.89494,0.83111
2024-02-02,68.78324,,1.99468,0.5984
2024-02-03,61.33643,,2.1609,1.09707
2024-02-04,84.20877,,2.79255,0.93085
2024-02-05,100.0,,1.92819,0.46542
2024-02-06,64.99335,,1.69547,0.93085
2024-02-07,39.09574,0.03324,1.13031,0.33244
2024-02-08,33.1117,,1.29654,0.2992
2024-02-09,20.34574,,2.12765,0.46542
2024-02-10,24.23537,,1.52925,0.26595
2024-02-11,31.5492,,1.59574,0.33244
2024-02-12,40.02659,,1.13031,0.5984
2024-02-13,59.17553,,1.36303,0.53191
2024-02-14,55.45212,,1.5625,0.69813
2024-02-15,50.26595,,1.32978,0.49867
2024-02-16,41.19015,,1.52925,0.39893
2024-02-17,41.15691,,1.1968,0.83111
2024-02-18,52.42686,0.03324,1.23005,1.16356
2024-02-19,52.69281,,1.03058,0.66489
2024-02-20,51.32978,,1.82845,0.5984
2024-02-21,49.53457,0.03324,1.46276,0.99734
2024-02-22,42.55319,,0.96409,0.46542
2024-02-23,38.79654,0.03324,1.39627,0.83111
2024-02-24,30.01994,,1.29654,0.36569
2024-02-25,41.12367,,1.16356,0.49867
2024-02-26,51.99468,,1.69547,0.5984
2024-02-27,50.03324,,0.99734,0.69813
2024-02-28,40.15957,,0.93085,0.86436
2024-02-29,30.35239,,0.86436,0.19946
2024-03-01,34.24202,,1.16356,0.79787
2024-03-02,31.18351,0.03324,0.99734,0.16622
2024-03-03,39.86037,,0.96409,0.99734
2024-03-04,39.19547,,0.86436,0.39893
2024-03-05,36.43617,,1.06382,0.63164
2024-03-06,38.99601,,1.16356,0.83111
2024-03-07,32.87898,,1.1968,1.13031
2024-03-08,27.95877,,1.13031,0.26595
2024-03-09,23.83643,,1.29654,0.8976
2024-03-10,32.54654,,0.69813,0.5984
2024-03-11,36.66888,,1.26329,0.69813
2024-03-12,36.40292,,1.66223,0.69813
2024-03-13,31.44946,,1.06382,1.03058
2024-03-14,31.48271,,1.13031,0.43218
2024-03-15,24.36835,,0.83111,0.69813
2024-03-16,23.03856,,0.39893,0.5984
2024-03-17,29.22207,,1.03058,0.43218
2024-03-18,36.90159,,0.53191,0.5984
2024-03-19,36.03723,,0.36569,0.66489
2024-03-20,36.40292,,1.26329,0.53191
2024-03-21,35.03989,,0.66489,0.53191
2024-03-22,32.08111,,4.75398,0.13297
2024-03-23,27.12765,,1.06382,0.5984
2024-03-24,38.29787,,0.63164,0.69813
2024-03-25,36.07047,,0.66489,0.36569
2024-03-26,34.24202,,1.32978,0.83111
2024-03-27,32.87898,0.03324,0.66489,0.53191
2024-03-28,31.44946,,0.49867,0.5984
2024-03-29,18.91622,,0.23271,0.26595
2024-03-30,18.21808,,0.53191,0.26595
2024-03-31,20.6117,,0.63164,0.49867
2024-04-01,29.12234,,0.99734,0.36569
2024-04-02,25.53191,,0.63164,0.83111
2024-04-03,25.23271,,0.93085,0.16622
2024-04-04,22.00797,,0.66489,0.73138
2024-04-05,16.72207,,0.8976,0.53191
2024-04-06,13.86303,,0.39893,0.36569
2024-04-07,19.18218,,0.53191,0.33244
2024-04-08,22.34042,,0.39893,0.33244
2024-04-09,19.31515,,0.49867,0.56515
2024-04-10,17.05452,,0.66489,0.69813
2024-04-11,17.7859,,0.53191,0.96409
2024-04-12,19.31515,,0.23271,0.36569
2024-04-13,15.55851,,0.23271,0.53191
2024-04-14,15.89095,,0.39893,0.66489
2024-04-15,22.50664,,0.53191,0.66489
2024-04-16,19.18218,,0.69813,0.56515
2024-04-17,18.81648,,0.26595,0.2992
2024-04-18,16.75531,,0.36569,0.49867
2024-04-19,14.79388,,0.19946,0.43218
2024-04-20,13.53058,,0.39893,0.56515
2024-04-21,17.68617,,0.09973,0.33244
2024-04-22,16.65558,,0.36569,0.43218
2024-04-23,18.21808,,0.33244,0.43218
2024-04-24,17.12101,,0.19946,0.26595
2024-04-25,15.52526,,0.53191,0.36569
2024-04-26,11.03723,,0.13297,0.19946
2024-04-27,9.94015,,0.03324,0.13297
2024-04-28,16.45611,,0.23271,0.19946
2024-04-29,16.55585,,0.49867,0.36569
2024-04-30,13.43085,,0.79787,0.39893
2024-05-01,13.16489,,0.23271,0.43218
2024-05-02,15.52526,,0.43218,0.49867
2024-05-03,11.86835,,0.09973,0.2992
2024-05-04,9.17553,,0.13297,0.2992
2024-05-05,12.03457,,0.2992,0.66489
2024-05-06,12.53324,,,0.63164
2024-05-07,15.55851,,0.33244,0.2992
2024-05-08,12.63297,,0.43218,0.2992
2024-05-09,13.43085,0.13297,0.73138,0.53191
2024-05-10,10.73803,,0.09973,0.53191
2024-05-11,8.67686,0.13297,0.5984,0.5984
2024-05-12,12.86569,0.09973,0.2992,0.76462
2024-05-13,11.26994,,0.19946,0.56515
2024-05-14,9.54122,,0.36569,0.56515
2024-05-15,12.46675,,0.13297,0.76462
2024-05-16,10.90425,,0.16622,0.69813
2024-05-17,9.94015,,0.06648,0.49867
2024-05-18,9.375,,0.13297,0.5984
2024-05-19,12.96542,0.06648,0.06648,0.5984
2024-05-20,11.80186,,0.49867,0.96409
2024-05-21,11.93484,,0.13297,0.63164
2024-05-22,11.73537,,0.13297,1.03058
2024-05-23,10.17287,0.03324,0.09973,0.86436
2024-05-24,10.97074,,0.16622,0.46542
2024-05-25,11.33643,,0.2992,0.5984
2024-05-26,10.90425,,0.26595,0.43218
2024-05-27,13.92952,0.03324,0.16622,0.49867
2024-05-28,12.73271,0.03324,0.53191,0.36569
2024-05-29,14.02925,0.03324,0.13297,0.39893
2024-05-30,13.59707,,0.09973,0.49867
2024-05-31,10.43882,,0.23271,0.5984
2024-06-01,11.17021,,0.26595,0.49867
2024-06-02,13.36436,,0.19946,0.49867
2024-06-03,17.38696,,0.36569,0.39893
2024-06-04,14.62765,,0.5984,0.36569
2024-06-05,13.6968,,0.16622,0.83111
2024-06-06,11.5359,,0.09973,0.69813
2024-06-07,9.87367,,0.06648,0.56515
2024-06-08,6.41622,0.03324,0.16622,0.19946
2024-06-09,6.51595,,0.06648,0.49867
2024-06-10,8.7101,,0.26595,0.36569
2024-06-11,8.51063,0.03324,0.26595,0.26595
2024-06-12,8.47739,,0.16622,0.09973
2024-06-13,8.27792,0.06648,0.43218,0.49867
2024-06-14,4.95345,0.03324,,0.09973
2024-06-15,4.65425,0.03324,0.13297,0.43218
2024-06-16,6.15026,0.03324,0.13297,0.43218
2024-06-17,7.71276,,0.16622,0.33244
2024-06-18,6.01728,0.09973,0.16622,0.2992
2024-06-19,6.91489,,0.06648,0.26595
2024-06-20,6.11702,,0.2992,0.2992
2024-06-21,4.95345,,0.23271,0.23271
2024-06-22,3.59042,0.03324,0.03324,0.09973
2024-06-23,3.98936,,0.36569,0.09973
2024-06-24,7.4468,0.06648,0.2992,0.16622
2024-06-25,10.23936,0.06648,0.49867,0.23271
2024-06-26,8.94281,0.09973,0.39893,0.53191
2024-06-27,9.375,0.03324,0.43218,0.5984
2024-06-28,6.58244,0.03324,0.26595,0.56515
2024-06-29,4.6875,0.19946,0.43218,0.49867
2024-06-30,6.21675,,0.06648,0.39893
2024-07-01,11.2367,0.09973,0.09973,0.46542
2024-07-02,7.64627,0.03324,0.39893,0.36569
2024-07-03,8.87632,0.03324,0.33244,0.26595
2024-07-04,8.31117,0.16622,0.09973,0.53191
2024-07-05,11.90159,0.13297,0.53191,0.46542
2024-07-06,4.75398,0.19946,0.2992,0.43218
2024-07-07,7.08111,0.26595,0.36569,0.39893
2024-07-08,9.84042,0.03324,0.66489,0.2992
2024-07-09,10.2726,0.26595,0.23271,0.66489
2024-07-10,5.78457,0.23271,0.26595,0.33244
2024-07-11,8.21143,0.06648,0.19946,0.19946
2024-07-12,4.92021,0.06648,0.06648,0.33244
2024-07-13,4.22207,0.09973,0.16622,0.56515
2024-07-14,6.8484,0.16622,0.16622,0.39893
2024-07-15,8.1117,0.03324,0.53191,0.39893
2024-07-16,6.88164,0.13297,0.16622,0.19946
2024-07-17,6.61569,0.23271,0.26595,0.66489
2024-07-18,8.04521,,0.23271,0.26595
2024-07-19,7.08111,0.03324,0.16622,0.16622
2024-07-20,5.75132,0.09973,0.2992,0.69813
2024-07-21,4.82047,0.09973,0.43218,0.53191
2024-07-22,7.11436,0.06648,0.2992,0.53191
2024-07-23,6.61569,0.03324,0.16622,0.19946
2024-07-24,15.9242,0.06648,0.26595,0.5984
2024-07-25,8.31117,0.09973,0.76462,0.16622
2024-07-26,6.98138,0.23271,0.26595,0.13297
2024-07-27,11.33643,0.06648,0.39893,0.39893
2024-07-28,5.78457,0.13297,0.06648,0.53191
2024-07-29,7.97872,0.03324,0.09973,0.36569
2024-07-30,13.06515,,0.26595,0.63164
2024-07-31,7.77925,0.03324,0.06648,0.43218
2024-08-01,7.91223,0.03324,0.09973,0.33244
2024-08-02,5.81781,0.09973,0.23271,0.33244
2024-08-03,5.2859,0.19946,,0.2992
2024-08-04,6.48271,0.33244,0.33244,0.49867
2024-08-05,8.04521,0.23271,0.19946,0.66489
2024-08-06,8.61037,0.39893,0.23271,0.5984
2024-08-07,11.86835,0.03324,0.33244,0.39893
2024-08-08,7.51329,0.16622,0.13297,0.2992
2024-08-09,7.01462,0.23271,0.09973,0.36569
2024-08-10,8.84308,0.06648,0.19946,0.16622
2024-08-11,6.98138,0.13297,0.2992,0.36569
2024-08-12,10.73803,0.26595,0.26595,0.33244
2024-08-13,7.91223,0.23271,0.13297,0.2992
2024-08-14,9.6742,0.13297,0.33244,0.69813
2024-08-15,9.70744,0.06648,0.19946,0.49867
2024-08-16,7.18085,0.03324,0.06648,0.2992
2024-08-17,5.51861,0.06648,0.16622,0.49867
2024-08-18,8.94281,0.33244,0.2992,0.66489
2024-08-19,7.08111,0.43218,0.33244,0.46542
2024-08-20,9.14228,0.06648,0.39893,0.2992
2024-08-21,7.57978,0.36569,0.26595,0.36569
2024-08-22,7.31382,0.03324,0.16622,0.26595
2024-08-23,7.71276,0.23271,0.13297,0.36569
2024-08-24,6.5492,0.26595,0.03324,0.49867
2024-08-25,6.38297,0.23271,0.36569,0.36569
2024-08-26,8.14494,0.19946,0.13297,0.49867
2024-08-27,8.31117,0.16622,0.46542,0.33244
2024-08-28,9.90691,0.19946,0.06648,0.23271
2024-08-29,9.375,,0.26595,0.26595
2024-08-30,7.57978,0.13297,0.09973,0.26595
2024-08-31,7.38031,0.26595,0.13297,0.33244
2024-09-01,9.47473,0.09973,0.16622,0.39893
2024-09-02,10.17287,0.39893,0.16622,0.43218
2024-09-03,11.93484,0.46542,0.23271,0.26595
2024-09-04,11.56914,0.33244,0.19946,0.49867
2024-09-05,11.20345,0.09973,0.06648,0.83111
2024-09-06,8.34441,0.19946,0.09973,0.33244
2024-09-07,11.30319,0.09973,0.13297,0.46542
2024-09-08,11.43617,,,0.83111
2024-09-09,11.66888,0.13297,,0.76462
2024-09-10,17.28723,,0.03324,0.76462
2024-09-11,11.30319,,0.03324,0.33244
2024-09-12,8.84308,0.23271,0.09973,0.66489
2024-09-13,6.68218,0.03324,0.03324,0.33244
2024-09-14,7.91223,,,0.26595
2024-09-15,6.34973,0.03324,,0.2992
2024-09-16,7.11436,0.13297,,0.23271
2024-09-17,9.24202,,,0.2992
2024-09-18,12.33377,0.16622,,0.43218
2024-09-19,17.25398,0.09973,,0.69813
2024-09-20,11.10372,0.26595,,0.43218
2024-09-21,12.26728,0.06648,0.03324,0.2992
2024-09-22,14.02925,0.33244,,0.56515
2024-09-23,15.65824,0.06648,0.03324,0.93085
2024-09-24,17.81914,,,0.49867
2024-09-25,14.22872,0.06648,,0.26595
2024-09-26,14.72739,0.03324,,0.53191
2024-09-27,13.82978,,,0.43218
2024-09-28,9.70744,0.03324,,0.46542
2024-09-29,11.8351,0.06648,,0.46542
2024-09-30,13.43085,,,0.49867
2024-10-01,13.49734,,,0.49867
2024-10-02,13.79654,,,0.19946
2024-10-03,12.5,,,0.5984
2024-10-04,13.46409,,,0.13297
2024-10-05,11.00398,,,0.36569
2024-10-06,17.98537,,,0.19946
2024-10-07,21.34308,,,0.23271
2024-10-08,19.0492,0.06648,,0.36569
2024-10-09,18.21808,,,0.53191
2024-10-10,18.58377,,,0.56515
2024-10-11,16.5226,,,0.53191
2024-10-12,13.36436,,0.03324,0.2992
2024-10-13,16.09042,,,0.19946
2024-10-14,23.00531,0.03324,,0.56515
2024-10-15,23.47074,,0.23271,0.2992
2024-10-16,21.94148,,0.03324,0.36569
2024-10-17,20.11303,,,0.16622
2024-10-18,17.7859,,,0.83111
2024-10-19,15.55851,,,0.26595
2024-10-20,21.40957,,0.03324,0.36569
2024-10-21,28.78989,,,0.43218
2024-10-22,29.72074,,,0.19946
2024-10-23,31.08377,,0.03324,0.19946
2024-10-24,33.74335,,,0.53191
2024-10-25,24.40159,,,0.16622
2024-10-26,21.57579,,0.03324,0.43218
2024-10-27,28.05851,,0.03324,0.36569
2024-10-28,44.61436,,0.03324,0.46542
2024-10-29,51.69547,,,0.33244
2024-10-30,54.78723,,,0.36569
2024-10-31,42.65292,,0.03324,0.49867
2024-11-01,44.98005,,0.06648,0.03324
2024-11-02,41.95478,,0.03324,0.13297
2024-11-03,41.88829,,,0.2992
2024-11-04,61.86835,,,0.53191
2024-11-05,77.69281,,0.03324,0.46542
2024-11-06,65.89095,0.03324,,0.33244
2024-11-07,64.62765,,0.06648,0.43218
2024-11-08,54.92021,,,0.46542
2024-11-09,48.70345,,0.03324,0.23271
2024-11-10,59.77393,,,0.39893
2024-11-11,85.87101,,0.03324,0.36569
2024-11-12,83.34441,,,0.19946
2024-11-13,73.7367,,0.06648,0.5984
2024-11-14,65.39228,,0.06648,0.36569
2024-11-15,57.38031,,,0.56515
2024-11-16,46.57579,,,0.23271
2024-11-17,56.94813,,0.03324,0.33244
2024-11-18,81.68218,,0.03324,0.39893
2024-11-19,84.77393,,,0.46542
2024-11-20,76.32978,,0.03324,0.53191
2024-11-21,69.31515,,0.13297,0.43218
2024-11-22,61.93484,,,0.19946
2024-11-23,41.42287,,,0.26595
2024-11-24,43.0851,,,0.39893
2024-11-25,59.34175,,,0.53191
2024-11-26,69.9468,0.03324,,0.13297
2024-11-27,69.0492,,,0.5984
2024-11-28,59.34175,,0.03324,0.46542
2024-11-29,55.38563,,0.03324,0.26595
2024-11-30,47.40691,,,0.56515
2024-12-01,67.15425,,0.03324,0.83111
2024-12-02,79.95345,,,0.93085
2024-12-03,74.00265,,,0.63164
2024-12-04,66.15691,,0.03324,0.53191
2024-12-05,63.79654,,,0.56515
2024-12-06,51.46276,,,0.2992
2024-12-07,37.1343,,0.03324,0.19946
2024-12-08,54.22207,,,0.53191
2024-12-09,58.51063,,,1.13031
2024-12-10,63.03191,,0.03324,0.39893
2024-12-11,66.38962,0.03324,,0.2992
2024-12-12,57.08111,,,0.39893
2024-12-13,50.13297,,,0.26595
2024-12-14,39.69414,,0.03324,0.39893
2024-12-15,59.30851,,,0.23271
2024-12-16,71.07712,0.03324,,0.43218
2024-12-17,70.24601,,0.03324,0.43218
2024-12-18,71.34308,,,0.49867
2024-12-19,67.81914,,,0.36569
2024-12-20,56.88164,,,0.43218
2024-12-21,50.03324,,0.03324,0.23271
2024-12-22,70.67819,,,0.63164
2024-12-23,70.34574,,,0.16622
2024-12-24,60.03989,,,0.23271
2024-12-25,60.87101,,0.09973,0.16622
2024-12-26,67.91888,,,0.56515
2024-12-27,47.80585,,0.03324,0.49867
2024-12-28,42.58643,,0.03324,0.2992
2024-12-29,48.33776,,0.03324,0.5984
2024-12-30,55.2859,,0.03324,0.43218
2024-12-31,48.67021,0.03324,0.03324,0.39893
2025-01-01,54.82047,,,0.33244
2025-01-02,58.97606,0.03324,0.03324,0.46542
2025-01-03,51.92819,0.06648,0.06648,0.5984
2025-01-04,47.57313,,,0.99734
2025-01-05,64.3617,,,0.83111
2025-01-06,64.19547,,,0.56515
2025-01-07,62.10106,,,0.83111
2025-01-08,57.84574,,0.03324,0.69813
2025-01-09,64.0625,,0.09973,0.8976
2025-01-10,57.18085,,0.03324,0.79787
2025-01-11,50.19946,,,0.39893
2025-01-12,63.73005,0.03324,,0.5984
2025-01-13,70.67819,,,0.79787
2025-01-14,72.73936,,0.06648,0.39893
2025-01-15,64.42819,,,0.33244
2025-01-16,70.57845,,,0.43218
2025-01-17,56.64893,,,0.2992
2025-01-18,51.69547,,,0.73138
2025-01-19,63.29787,,,0.76462
2025-01-20,72.63962,,,0.83111
2025-01-21,65.19281,,,0.39893
2025-01-22,65.09308,,,0.46542
2025-01-23,42.55319,,,0.33244
2025-01-24,26.62898,,,0.33244
2025-01-25,19.08244,,,0.33244
2025-01-26,18.88297,,,0.5984
2025-01-27,21.94148,,,0.36569
2025-01-28,20.51196,,,0.36569
2025-01-29,20.74468,,,0.53191
2025-01-30,28.88962,,,0.43218
2025-01-31,28.78989,,,0.43218
2025-02-01,32.91223,,,0.19946
2025-02-02,36.63563,,,0.73138
2025-02-03,38.33111,0.03324,,0.33244
2025-02-04,43.65026,0.03324,,0.66489
2025-02-05,44.41489,,,0.49867
2025-02-06,40.15957,,,0.16622
2025-02-07,31.88164,,,0.26595
2025-02-08,29.48803,0.03324,0.13297,0.26595
2025-02-09,37.89893,,,0.63164
2025-02-10,47.63962,,,0.5984
2025-02-11,46.34308,,,0.46542
2025-02-12,44.28191,,,0.23271
2025-02-13,44.18218,,,0.53191
2025-02-14,35.2726,,,0.53191
2025-02-15,33.31117,,,0.83111
2025-02-16,39.56117,,,0.49867
2025-02-17,49.20212,,,0.83111
2025-02-18,41.48936,,,0.49867
2025-02-19,41.65558,,,0.73138
2025-02-20,40.65824,0.03324,,0.46542
2025-02-21,33.61037,,,0.23271
2025-02-22,33.84308,,,0.53191
2025-02-23,44.18218,,,0.53191
2025-02-24,36.46941,,,0.76462
2025-02-25,41.25664,,,0.5984
2025-02-26,43.98271,,,0.36569
2025-02-27,34.10904,,,0.63164
2025-02-28,36.36968,0.03324,,0.53191
2025-03-01,36.10372,0.03324,,0.2992
2025-03-02,39.19547,,,0.33244
2025-03-03,48.83643,0.03324,,0.23271
2025-03-04,46.74202,,,0.39893
2025-03-05,43.68351,,,0.23271
2025-03-06,38.36436,,0.03324,0.46542
2025-03-07,30.18617,,,0.2992
2025-03-08,29.0226,,,0.13297
2025-03-09,27.49335,,,0.26595
2025-03-10,33.27792,,,0.36569
2025-03-11,36.76861,,,0.43218
2025-03-12,39.32845,,,0.46542
2025-03-13,35.90425,,,0.53191
2025-03-14,30.65159,,,0.06648
2025-03-15,27.1609,,,0.19946
2025-03-16,32.11436,,,0.56515
2025-03-17,31.98138,,,0.13297
2025-03-18,33.90957,,,0.46542
2025-03-19,30.48537,,,0.33244
2025-03-20,27.89228,,,0.26595
2025-03-21,23.27127,0.03324,,0.46542
2025-03-22,31.78191,,,0.39893
2025-03-23,30.98404,,,0.26595
2025-03-24,32.87898,,,0.56515
2025-03-25,28.62367,,,0.23271
2025-03-26,20.47872,,,0.53191
2025-03-27,19.38164,0.06648,,0.26595
2025-03-28,15.35904,,,0.33244
2025-03-29,17.22074,0.06648,,0.26595
2025-03-30,21.60904,0.03324,,0.43218
2025-03-31,26.89494,,,0.56515
2025-04-01,24.13563,0.03324,0.19946,0.33244
2025-04-02,23.60372,,,0.33244
2025-04-03,17.05452,,,0.36569
2025-04-04,15.45877,,,0.13297
2025-04-05,14.82712,,,0.23271
2025-04-06,18.88297,,,0.46542
2025-04-07,24.06914,,,0.19946
2025-04-08,21.24335,,,0.46542
2025-04-09,19.81382,,0.03324,0.49867
2025-04-10,18.18484,,,0.2992
2025-04-11,14.02925,,,0.26595
2025-04-12,12.7992,,0.03324,0.19946
2025-04-13,18.18484,0.06648,,0.43218
2025-04-14,19.01595,,,0.53191
2025-04-15,18.84973,0.03324,,0.43218
2025-04-16,17.65292,,,0.23271
2025-04-17,15.95744,,,0.39893
2025-04-18,8.37765,0.03324,,0.03324
2025-04-19,11.90159,,,0.23271
2025-04-20,13.13164,,,0.23271
2025-04-21,11.00398,,,0.13297
2025-04-22,13.33111,,,0.16622
2025-04-23,12.63297,,,0.16622
2025-04-24,12.36702,,,0.19946
2025-04-25,8.97606,,,0.23271
2025-04-26,8.74335,0.03324,,0.19946
2025-04-27,7.8125,,,0.56515
2025-04-28,10.2726,,,0.09973
2025-04-29,10.17287,0.03324,,0.13297
2025-04-30,10.40558,,,0.2992
