title,link,image,lprice,hprice,mallName,productId,productType,brand,maker,category1,category2,category3,category4
포켓파크 <b>딸기 케이크</b> 생크림 바닐라시트 1호 택배가능,https://smartstore.naver.com/main/products/11359823596,https://shopping-phinf.pstatic.net/main_8890433/88904333947.10.jpg,39500,,포켓파크디저트,88904333947,2,포켓파크,,여가/생활편의,생활편의,e쿠폰,카페/베이커리
파리바게뜨 우유 생크림 <b>케이크</b> <b>딸기</b> B타입 1호,https://search.shopping.naver.com/catalog/53353073109,https://shopping-phinf.pstatic.net/main_5335307/53353073109.20250304181726.jpg,29890,,네이버,53353073109,1,파리바게뜨,,여가/생활편의,생활편의,e쿠폰,카페/베이커리
스타벅스 카페 아메리카노 T 2잔 + <b>딸기</b> 촉촉 초코 생크림 <b>케이크</b>,https://search.shopping.naver.com/catalog/53144838830,https://shopping-phinf.pstatic.net/main_5314483/53144838830.20250221143932.jpg,16240,,네이버,53144838830,1,스타벅스,스타벅스,여가/생활편의,생활편의,e쿠폰,카페/베이커리
파리바게뜨 초코반 <b>딸기</b>반 <b>케이크</b>,https://search.shopping.naver.com/catalog/38166463618,https://shopping-phinf.pstatic.net/main_3816646/38166463618.20230222104149.jpg,33220,,네이버,38166463618,1,파리바게뜨,,여가/생활편의,생활편의,e쿠폰,카페/베이커리
파리바게뜨 우유 생크림<b>케이크</b> <b>딸기</b>A타입 2호,https://search.shopping.naver.com/catalog/48548461619,https://shopping-phinf.pstatic.net/main_4854846/48548461619.20240619175318.jpg,33810,,네이버,48548461619,1,파리바게뜨,,여가/생활편의,생활편의,e쿠폰,카페/베이커리
파리바게뜨 우유 생크림 <b>케이크</b> <b>딸기</b> B타입 3호,https://search.shopping.naver.com/catalog/53353073607,https://shopping-phinf.pstatic.net/main_5335307/53353073607.20250304181855.jpg,36280,,네이버,53353073607,1,파리바게뜨,,여가/생활편의,생활편의,e쿠폰,카페/베이커리
투썸플레이스 <b>딸기</b> 생크림 1호,https://search.shopping.naver.com/catalog/25992048529,https://shopping-phinf.pstatic.net/main_2599204/25992048529.20210215123722.jpg,32720,,네이버,25992048529,1,투썸플레이스,,여가/생활편의,생활편의,e쿠폰,카페/베이커리
뚜레쥬르 클래식<b>딸기</b>잼롤<b>케이크</b>,https://search.shopping.naver.com/catalog/40493583621,https://shopping-phinf.pstatic.net/main_4049358/40493583621.20230609115142.jpg,13500,,네이버,40493583621,1,뚜레쥬르,,여가/생활편의,생활편의,e쿠폰,카페/베이커리
카페 아메리카노 T 2잔 + <b>딸기</b> 촉촉 초코 생크림 <b>케이크</b>,https://smartstore.naver.com/main/products/11780151670,https://shopping-phinf.pstatic.net/main_8932466/89324662257.jpg,17700,,스타벅스 e쿠폰 선물하기,89324662257,2,스타벅스,스타벅스,여가/생활편의,생활편의,e쿠폰,카페/베이커리
[기프티쇼] 파리바게뜨 우유 생크림 <b>케이크</b>(<b>딸기</b>) 3호(B),https://smartstore.naver.com/main/products/12994560063,https://shopping-phinf.pstatic.net/main_9053907/90539071155.jpg,39900,,Giftishow,90539071155,2,파리바게뜨,,여가/생활편의,생활편의,e쿠폰,카페/베이커리
